1701138979.6422033
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,137.5423020314833,-108.08137529140373,10112.0
30,178.33009767691192,-149.07215604325293,11546.0
1701139048.56152
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,167560.23339191565,-168369.55987120915,11911.0
30,0.0,31.825602333919154,11911.0
30,0.0,30.15,11911.0
30,1643114.618650104,-1651316.472889541,1111911.0
30,-136476.1714886042,137206.4982539486,13021.0
30,33.35474164227538,-4.73661061278922,13289.0
30,0.0,30.15033354741642,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,0.0,30.15,13289.0
30,-56.144373278367055,86.57565658849167,0.0
30,3.5775355870937555,26.553979515882123,448.0
30,44.22804482961928,-14.2995915588598,15055.0
30,-260.54121730001174,291.9969710791331,5361.0
30,151.58074888531678,-122.19277384940521,11595.0
30,0.042758644031442146,30.108542942650814,11599.0
30,0.7786599723417789,29.36743936878323,11634.0
30,-9.671505345252587,39.86996737363202,1771.0
30,179.58222199819704,-150.33202564546147,10605.0
30,-261.0545908321668,292.5142701544559,903.0
30,152.49770856155382,-123.11433262735552,7156.0
30,4.772186165067694,25.355430159330933,9889.0
30,0.5211062630974204,29.626330716386114,9923.0
30,7.041333630252274,23.07339449932279,15827.0
30,-90.36698313661334,120.96979213546408,4861.0
30,179.78655935573462,-150.53819368793822,15840.0
30,-250.65366156050317,282.0612342705149,5629.0
30,0.7978034609458431,29.34569300709921,5668.0
30,5.269267476180134,24.85434147179881,5969.0
30,20.441651034372086,9.60598898662047,14769.0
30,-11.104616685224759,41.31045523132807,10577.0
30,-2.5792343553468884,32.74204527330033,9882.0
30,-220.80499579967358,252.06120303628637,853.0
30,179.75508647831413,-150.50786751152847,7536.0
30,154.09306083704473,-124.71326952097354,14484.0
30,0.06801628387588055,30.083183885150273,14521.0
30,5.604294740842795,24.517628422668423,14566.0
30,139.64300937554106,-110.1925648095651,15689.0
30,-1858.7443229141963,1898.2080284020901,740.0
30,41.99890600040764,-12.077907962698829,1078.0
30,1.86534883141742,28.275725759997183,1093.0
30,0.0,30.150018653488313,1093.0
30,138.48922295899433,-109.0330539660189,2207.0
30,178.3649513917927,-149.107174906036,3643.0
30,39.73233299230798,-9.779608331085525,3963.0
30,8.246390253900012,21.862692654257874,4029.0
30,0.9944953432348869,29.150604698998045,4037.0
30,137.905405591304,-108.44630172836301,5146.0
30,178.3870985767425,-149.12943888655607,6583.0
30,41.477446323254284,-11.533464458348021,6916.0
30,7.215720072231464,22.898543944669893,6974.0
30,1.118046436466772,29.02642430808725,6983.0
30,137.899518306031,-108.44038371227985,8092.0
1701139341.5267625
Set_RPM,Current_RPM,PWM_Estimate,Encoder_Val
30,11644.22806401652,-11672.415356617243,13906.0
30,173.0040408206806,-143.60434878455203,15298.0
30,71.98837799958737,-42.197309732957095,15877.0
30,-1972.2612170831521,2012.2929656645188,39.0
30,75.08644581205742,-45.33235151774666,643.0
30,15.169345006231316,14.905407439745586,765.0
30,61.72280076321141,-31.88188030158504,1262.0
30,36.95516306798494,-6.989691206947914,1559.0
30,47.4413562155923,-17.528667858601736,1940.0
30,117.06467095990395,-87.50069054785091,2881.0
30,55.30962349047702,-25.435554057454713,3326.0
30,122.3886554905931,-92.85126955836606,4310.0
30,76.60722291584749,-46.83980121610097,4925.0
30,134.03700930722866,-104.55776865162872,6003.0
30,117.00805420644886,-87.4429241879301,6945.0
30,25.272051270483143,4.752505833193801,7148.0
30,121.23027740293743,-91.68738837221345,8123.0
30,37.39576470699749,-7.431905185405517,8424.0
30,127.22991766238017,-97.71696559222163,9447.0
30,146.19965498966747,-116.78084296198908,10623.0
30,165.53493480437749,-136.2128028311975,11952.0
30,62.36362335289755,-32.52440975654752,12454.0
30,55.675080683190934,-25.80338920118019,12901.0
30,58.445586613379504,-28.587842251505705,13371.0
30,47.2015399832971,-17.28743524274729,13751.0
