,DeltEncoder,LoopTimes,CurrRpm,SetPoint,CurrTime,KpContrib,KiContrib,KdContrib
142,0.0,0.04300212860107422,0.0,90.0,1709853068.361123,382.5,0.0,2.8
143,0.0,0.030864953994750977,0.0,89.0,1709853068.391988,378.25,0.0,-2.8
144,-35.0,0.03675103187561035,-23.808855298582504,89.0,1709853068.428739,378.25,0.0,0.0
145,-96.0,0.03723859786987305,-64.44925795505475,89.0,1709853068.4659777,378.25,0.0,0.0
146,-117.0,0.03787493705749512,-77.22785111325138,88.0,1709853068.5038526,374.0,0.0,-2.8
147,-123.0,0.0318150520324707,-96.6523643230767,88.0,1709853068.5356677,374.0,0.0,0.0
148,-107.0,0.040068626403808594,-66.76046173985482,87.0,1709853068.5757363,369.75,0.0,-2.8
149,-1.0,0.0286407470703125,-0.8728822589238145,89.0,1709853068.604377,378.25,0.0,5.6
150,-13.0,0.03009319305419922,-10.799784503248297,88.0,1709853068.6344702,374.0,0.0,-2.8
151,-1.0,0.0429990291595459,-0.5814084756946177,88.0,1709853068.6774693,374.0,0.0,0.0
152,-4.0,0.036314964294433594,-2.753685758554584,88.0,1709853068.7137842,374.0,0.0,0.0
153,-2.0,0.034885406494140625,-1.4332640787315474,89.0,1709853068.7486696,378.25,0.0,2.8
154,-16.0,0.036554813385009766,-10.942471400060004,89.0,1709853068.7852244,378.25,0.0,0.0
155,-65.0,0.026549816131591797,-61.20569694139622,89.0,1709853068.8117743,378.25,0.0,0.0
156,-81.0,0.04900932312011719,-41.31866900175131,88.0,1709853068.8607836,374.0,0.0,-2.8
157,-94.0,0.015676021575927734,-149.91048517110266,89.0,1709853068.8764596,378.25,0.0,2.8
158,-107.0,0.029153823852539062,-91.75468760222441,89.0,1709853068.9056134,378.25,0.0,0.0
159,-117.0,0.03650259971618652,-80.13127894293385,89.0,1709853068.942116,378.25,0.0,0.0
160,-125.0,0.03572249412536621,-87.47989401392235,89.0,1709853068.9778385,378.25,0.0,0.0
161,-136.0,0.03907442092895508,-87.01344560375861,89.0,1709853069.016913,378.25,0.0,0.0
