,DeltEncoder,LoopTimess,CurrRpm,ChangeInRpm
993,34.0,0.021225690841674805,40.04581082143619,-0.04581082143619142
994,32.0,0.021049022674560547,38.006515189271234,1.9934848107287664
995,33.0,0.020704030990600586,39.84731284330773,0.1526871566922665
996,35.0,0.020827054977416992,42.01266098105432,-2.0126609810543172
997,33.0,0.02064204216003418,39.96697582554661,0.0330241744533879
998,32.0,0.020884990692138672,38.305020662572204,1.694979337427796
999,35.0,0.02078986167907715,42.0878221080517,-2.0878221080516965
1000,34.0,0.020842790603637695,40.78148728566363,-0.7814872856636299
1001,32.0,0.020894289016723633,38.28797425744834,1.7120257425516598
1002,34.0,0.020836591720581055,40.793619772298186,-0.7936197722981859
1003,34.0,0.020705699920654297,41.051498054026666,-1.0514980540266663
1004,33.0,0.021260499954223633,38.80435557848227,1.195644421517727
1005,33.0,0.021254301071166992,38.815672989556575,1.1843270104434254
1006,34.0,0.02109241485595703,40.2988470407379,-0.2988470407378969
1007,35.0,0.021139860153198242,41.39100228946508,-1.391002289465078
1008,33.0,0.021201372146606445,38.912575766095024,1.0874242339049758
1009,34.0,0.021197080612182617,40.099861653188164,-0.09986165318816376
1010,35.0,0.021121978759765625,41.42604298356511,-1.426042983565111
1011,34.0,0.021204233169555664,40.08633527103455,-0.08633527103454952
1012,33.0,0.021128177642822266,39.04738089327225,0.9526191067277523
1013,33.0,0.021088600158691406,39.12066205399539,0.8793379460046111
1014,34.0,0.02097630500793457,40.5219126856935,-0.5219126856935006
1015,35.0,0.02084207534790039,41.98238349081425,-1.9823834908142501
1016,33.0,0.020488977432250977,40.265552672306455,-0.2655526723064554
1017,33.0,0.02080821990966797,39.64779320775471,0.3522067922452905
1018,35.0,0.020750761032104492,42.167128166829436,-2.1671281668294355
1019,34.0,0.020994901657104492,40.48601960049512,-0.48601960049511916
1020,32.0,0.020763397216796875,38.52934043725887,1.4706595627411332
1021,33.0,0.020884037017822266,39.503856428522504,0.49614357147749644
1022,36.0,0.020814180374145508,43.23975212196882,-3.23975212196882
1023,34.0,0.020744800567626953,40.97412251465349,-0.9741225146534873
1024,32.0,0.02087569236755371,38.32208225310933,1.677917746890671
1025,33.0,0.021192073822021484,38.92964921359944,1.0703507864005601
