,CurrEncVal,DeltEncVal,CurrTime,DeltTime,CurrRpm,DeltRpm,SetRpm,PWMEst
60,2713.0,2713.0,1701289820.089399,0.20100712776184082,52.61007466625548,-22.61007466625548,30,-33.344452483122566
61,3139.0,3139.0,1701289820.2908304,0.2014312744140625,52.87163093705022,-22.87163093705022,30,-34.33360203265481
62,3567.0,3567.0,1701289820.4916937,0.20086336135864258,53.2700435142828,-23.270043514282797,30,-34.94490652914745
63,3992.0,3992.0,1701289820.6926794,0.20098567008972168,52.86446538828819,-22.86446538828819,30,-34.25614026983283
64,4418.0,4418.0,1701289820.8936796,0.20100021362304688,52.98501831432313,-22.985018314323128,30,-34.48958276408818
65,4845.0,4845.0,1701289821.0950408,0.20136117935180664,53.01419089003872,-23.01419089003872,30,-34.52420359262964
66,5272.0,5272.0,1701289821.2960346,0.20099377632141113,53.111097245764974,-23.111097245764974,30,-34.67633650422009
67,5697.0,5697.0,1701289821.4964452,0.2004106044769287,53.01615664366279,-23.01615664366279,30,-34.51474090528397
68,6124.0,6124.0,1701289821.6978204,0.20137524604797363,53.01048768157381,-23.010487681573807,30,-34.515164626151815
69,6551.0,6551.0,1701289821.8987687,0.20094823837280273,53.1231330338689,-23.123133033868903,30,-34.695964086032866
70,6977.0,6977.0,1701289822.0996106,0.20084190368652344,53.02678278046325,-23.02678278046325,30,-34.53053914535431
71,7403.0,7403.0,1701289822.3005855,0.2009749412536621,52.991681119876624,-22.991681119876624,30,-34.48401151375627
72,7830.0,7830.0,1701289822.5017943,0.20120882987976074,53.054331692993856,-23.054331692993856,30,-34.587762596802506
73,8257.0,8257.0,1701289822.702951,0.2011566162109375,53.06810285974361,-23.06810285974361,30,-34.60353140629039
74,8682.0,8682.0,1701289822.9037054,0.20075440406799316,52.92536444879902,-22.925364448799023,30,-34.37377283210407
75,9109.0,9109.0,1701289823.1044714,0.20076608657836914,53.17133078565542,-23.17133078565542,30,-34.781592812168775
76,9537.0,9537.0,1701289823.3057642,0.2012927532196045,53.15640940300823,-23.156409403008233,30,-34.73312196624763
77,9963.0,9963.0,1701289823.5065718,0.2008075714111328,53.0358488236244,-23.0358488236244,30,-34.541717177498214
78,10388.0,10388.0,1701289823.7075663,0.20099449157714844,52.86214520919728,-22.86214520919728,30,-34.275847452353204
79,10816.0,10816.0,1701289823.9086306,0.2010643482208252,53.21679399994071,-23.216793999940712,30,-34.86065587898541
80,11243.0,11243.0,1701289824.109846,0.20121550559997559,53.05257151117531,-23.05257151117531,30,-34.56243501788643
81,11668.0,11668.0,1701289824.310786,0.20093989372253418,52.876508507919404,-22.876508507919404,30,-34.29715646155352
82,12095.0,12095.0,1701289824.5121467,0.20136070251464844,53.014316431595795,-23.014316431595795,30,-34.53525543976133
83,12523.0,12523.0,1701289824.7127664,0.20061969757080078,53.334742946782974,-23.334742946782974,30,-35.03415707169318
84,12949.0,12949.0,1701289824.913505,0.20073866844177246,53.054053225869666,-23.054053225869666,30,-34.553010866713166
85,13375.0,13375.0,1701289825.114708,0.2012028694152832,52.931650681474004,-22.931650681474004,30,-34.38523576777144
86,13803.0,13803.0,1701289825.3155365,0.20082855224609375,53.27927667819018,-23.27927667819018,30,-34.95367761695689
87,14229.0,14229.0,1701289825.5167475,0.20121097564697266,52.92951821219518,-22.929518212195177,30,-34.359301471693264
88,14655.0,14655.0,1701289825.717738,0.2009904384613037,52.987595238518885,-22.987595238518885,30,-34.4872005604107
89,15082.0,15082.0,1701289825.9189026,0.20116472244262695,53.065964401609016,-23.065964401609016,30,-34.60678351872253
90,15510.0,15510.0,1701289826.1198745,0.2009718418121338,53.241289443932345,-23.241289443932345,30,-34.87946667013085
91,15935.0,15935.0,1701289826.32056,0.2006855010986328,52.94353574042218,-22.943535740422178,30,-34.38552824028225
92,16362.0,16362.0,1701289826.5218606,0.20130062103271484,53.030139426470654,-23.030139426470654,30,-34.55386950831083
93,405.0,405.0,1701289826.7226155,0.20075488090515137,-1987.1247872099113,2017.1247872099113,30,3229.7026734785054
94,832.0,832.0,1701289826.9237401,0.2011246681213379,53.07653257908575,-23.07653257908575,30,-238.63493084752832
95,1258.0,1258.0,1701289827.1249428,0.2012026309967041,52.9317134037599,-22.9317134037599,30,-34.383088188107266
96,1685.0,1685.0,1701289827.3258367,0.20089387893676758,53.137507506438325,-23.137507506438325,30,-34.72684066992533
97,2112.0,2112.0,1701289827.5268695,0.2010328769683838,53.10076720276378,-23.100767202763777,30,-34.64747677377821
98,2538.0,2538.0,1701289827.7278044,0.20093488693237305,53.002244471286765,-23.002244471286765,30,-34.49351443378245
99,2965.0,2965.0,1701289827.9289098,0.20110535621643066,53.08162945452088,-23.08162945452088,30,-34.63038268010473
100,3393.0,3393.0,1701289828.1296427,0.20073294639587402,53.30465273447475,-23.30465273447475,30,-34.97928142970751
101,3819.0,3819.0,1701289828.3307345,0.20109176635742188,52.9608953808214,-22.9608953808214,30,-34.40696733586676
102,4245.0,4245.0,1701289828.5317636,0.20102906227111816,52.9774147065207,-22.977414706520698,30,-34.46777399235097
103,4672.0,4672.0,1701289828.7330244,0.20126080513000488,53.04063050480425,-23.04063050480425,30,-34.56726733703472
104,5100.0,5100.0,1701289828.9338334,0.20080900192260742,53.28446383157575,-23.28446383157575,30,-34.95107908004077
105,5526.0,5526.0,1701289829.1349812,0.20114779472351074,52.94614347942039,-22.946143479420392,30,-34.38538318391505
106,5952.0,5952.0,1701289829.3361273,0.20114612579345703,52.946582779007855,-22.946582779007855,30,-34.41991809847053
107,6380.0,6380.0,1701289829.537125,0.20099782943725586,53.23440571451617,-23.23440571451617,30,-34.88039086532509
108,6806.0,6806.0,1701289829.737704,0.20057892799377441,53.09630531244317,-23.09630531244317,30,-34.63064792845745
109,7232.0,7232.0,1701289829.9387326,0.20102858543395996,52.977540368250956,-22.977540368250956,30,-34.454434057957215
110,7660.0,7660.0,1701289830.1399107,0.20117807388305664,53.18671062642658,-23.18671062642658,30,-34.80098296545743
111,8087.0,8087.0,1701289830.3408768,0.20096611976623535,53.11840628866799,-23.11840628866799,30,-34.67077899922613
112,8513.0,8513.0,1701289830.54194,0.2010631561279297,52.96843143765119,-22.96843143765119,30,-34.437649671375105
113,8940.0,8940.0,1701289830.7429533,0.20101332664489746,53.10593172192036,-23.105931721920363,30,-34.67264761130746
114,9367.0,9367.0,1701289830.94403,0.20107674598693848,53.089182180685505,-23.089182180685505,30,-34.632098316904774
115,9794.0,9794.0,1701289831.14504,0.20100998878479004,53.10681356949438,-23.106813569494378,30,-34.661983493122456
116,10220.0,10220.0,1701289831.3457222,0.2006821632385254,53.06899142472218,-23.068991424722178,30,-34.599704922606044
117,10647.0,10647.0,1701289831.5468924,0.2011702060699463,53.064517895300725,-23.064517895300725,30,-34.59632949000894
118,11075.0,11075.0,1701289831.7478766,0.20098423957824707,53.238005240875026,-23.238005240875026,30,-34.87435659586997
119,11501.0,11501.0,1701289831.9491196,0.20124292373657227,52.92111544722382,-22.92111544722382,30,-34.349984191470604
120,11928.0,11928.0,1701289832.1500533,0.20093369483947754,53.126978073677854,-23.126978073677854,30,-34.71105337316218
121,12356.0,12356.0,1701289832.3511128,0.20105957984924316,53.21805610069904,-23.218056100699037,30,-34.83619195375067
122,12781.0,12781.0,1701289832.552121,0.20100808143615723,52.858571277765456,-22.858571277765456,30,-34.251908434354824
123,13208.0,13208.0,1701289832.7531545,0.2010335922241211,53.10057827598803,-23.100578275988028,30,-34.6750681138043
124,13636.0,13636.0,1701289832.9544656,0.2013111114501953,53.151561893031406,-23.151561893031406,30,-34.73244120125145
125,14063.0,14063.0,1701289833.1547687,0.2003030776977539,53.294238524422354,-23.294238524422354,30,-34.955625449772626
126,14489.0,14489.0,1701289833.3557935,0.20102477073669434,52.978545683554344,-22.978545683554344,30,-34.43624924124472
127,14916.0,14916.0,1701289833.5569348,0.201141357421875,53.07212866029434,-23.07212866029434,30,-34.61755128811551
128,15344.0,15344.0,1701289833.7580009,0.2010660171508789,53.21635227881783,-23.21635227881783,30,-34.838950780079095
129,15770.0,15770.0,1701289833.959063,0.20106220245361328,52.96868267648189,-22.96868267648189,30,-34.428257054489244
130,16196.0,16196.0,1701289834.160149,0.20108604431152344,52.96240242063229,-22.962402420632287,30,-34.44297560536347
131,240.0,240.0,1701289834.3609667,0.20081758499145508,-1986.3798283251613,2016.3798283251613,30,3228.503965562321
132,667.0,667.0,1701289834.5620415,0.20107483863830566,53.089685772182754,-23.089685772182754,30,-238.58148006800855
133,1093.0,1093.0,1701289834.7627366,0.20069503784179688,53.06558704453441,-23.06558704453441,30,-34.59597069403678
134,1520.0,1520.0,1701289834.963868,0.20113134384155273,53.074770923867305,-23.074770923867305,30,-34.61307477373425
135,1948.0,1948.0,1701289835.1648724,0.2010045051574707,53.2326377044008,-23.2326377044008,30,-34.864743234654554
136,2374.0,2374.0,1701289835.3659453,0.20107293128967285,52.96585637704376,-22.965856377043757,30,-34.42210643282993
137,2801.0,2801.0,1701289835.567041,0.2010955810546875,53.084209727596935,-23.084209727596935,30,-34.638149926450716
138,3229.0,3229.0,1701289835.7679403,0.20089936256408691,53.26049751196547,-23.260497511965468,30,-34.90837504638505
139,3655.0,3655.0,1701289835.9690583,0.20111799240112305,52.95398921225772,-22.953989212257717,30,-34.400332988415805
140,4081.0,4081.0,1701289836.1700392,0.20098090171813965,52.99010955247783,-22.990109552477833,30,-34.48877636273876
141,4509.0,4509.0,1701289836.3707929,0.20075368881225586,53.299145152977,-23.299145152976998,30,-34.979621289515414
142,4937.0,4937.0,1701289836.572166,0.20137310028076172,53.13520020837773,-23.135200208377732,30,-34.68640581810667
143,5362.0,5362.0,1701289836.7728748,0.20070886611938477,52.93737245110081,-22.937372451100813,30,-34.38627590092353
144,5789.0,5789.0,1701289836.973915,0.20104026794433594,53.098815024240295,-23.098815024240295,30,-34.66436679367439
145,6217.0,6217.0,1701289837.1753685,0.20145344734191895,53.114007931764576,-23.114007931764576,30,-34.67253118839929
