,PositionErr,LoopTimes,CurrTime
116,0.0,0.02753713130950928,1709854227.4199977
117,0.0,0.02758277177810669,1709854227.4546206
118,0.0,0.02759042978286743,1709854227.4918473
119,0.0,0.02760288953781128,1709854227.530631
120,0.0,0.027522714138031007,1709854227.5625777
121,0.0,0.027498867511749268,1709854227.5961356
122,0.0,0.027491378784179687,1709854227.6340115
123,0.0,0.027400498390197755,1709854227.6647239
124,0.0,0.027439661026000976,1709854227.7028012
125,0.0,0.027427144050598144,1709854227.7343662
126,0.0,0.027479841709136962,1709854227.7698035
127,0.0,0.027473087310791015,1709854227.8015475
128,0.0,0.027498223781585694,1709854227.841468
129,0.0,0.027474675178527832,1709854227.8746939
130,0.0,0.02746634006500244,1709854227.9120898
131,0.0,0.027537744045257568,1709854227.948608
132,0.0,0.02753338575363159,1709854227.982642
